Codigo,Nombre,Provincia,Normativa de creaciÑn,Auxiliarato,Tecnicatura,Grado universitario,Dependencia,Habilitado,CUE
1039,ESCUELA SUPERIOR DE SANIDAD - HOSPITAL DE AGUDOS DR. ARTURO MELO,Buenos Aires,null,SI,SI,SI,null,SI,"null,"
1040,ESTABLECIMIENTO EDUCATIVO E.P.P.A.,Buenos Aires,null,SI,SI,SI,null,SI,61420800
1041,EXTENSION DEL INSTITUTO SUPERIOR DE FORMACION DOCENTE Y TECNICA N° 20,Buenos Aires,null,SI,SI,SI,null,SI,60945201
1042,FEDERACION DE ASOCIACION DE TRABAJADORES DE LA SANIDAD ARGENTINA,CABA,null,SI,SI,SI,null,SI,"null,"
1043,FUERZA AEREA ARGENTINA - HOSPITAL AERONAUTICO CENTRAL,CABA,null,SI,SI,SI,null,SI,"null,"
1044,HOSPITAL DE EVACUACION 181 - HOSPITAL MILITAR BAHIA BLANCA,Buenos Aires,null,SI,SI,SI,null,SI,"null,"
1045,HOSPITAL INTERZONAL GENERAL DE AGUDOS CIRUJANO MAYOR DR. DIEGO PAROISSIEN,Buenos Aires,null,SI,SI,SI,null,SI,"null,"
1046,HOSPITAL NACIONAL PROFESOR ALEJANDRO POSADAS,Buenos Aires,null,SI,SI,SI,null,SI,"null,"
1048,INSTITUTO AGUSTINA BERMEJO DIPREGEP N 4512/4506,Buenos Aires,null,SI,SI,SI,null,SI,61341300
1049,INSTITUTO BUENOS AIRES,Buenos Aires,null,SI,SI,SI,null,SI,61695000
1050,INSTITUTO CULTURAL PILAR (EX. IS 9001) DIPREGEP N° 5888,Buenos Aires,DIPREGEP N 5888,SI,SI,SI,null,SI,"null,"
1051,ESCUELA DE ENFERMERIA DE LA CRUZ ROJA ARGENTINA - SANTOS LUGARES DIPREGEP 4948/ DIPREGEP 4929,Buenos Aires,DIPREGEP 4948,SI,SI,SI,null,SI,60863000
1052,INSTITUTO DE FORMACION E INVESTIGACION MEDICO HOSPITALARIA,Buenos Aires,null,SI,SI,SI,null,NO,60643100
1053,INSTITUTO DE FORMACION SUPERIOR DEL HOSPITAL ITALIANO DE LA PLATA DIPREGEP 5492,Buenos Aires,DIPREGEP N 5492,SI,SI,SI,null,SI,61294500
1054,INSTITUTO DE FORMACION TECNICA N° 6008- ESCUELA MUNICIPAL DE ENFERMERIA E INSTRUMENTACION QUIRURGICA,Buenos Aires,null,SI,SI,SI,null,SI,62111300
1055,MARIA EVA DUARTE DE PERON - DIPREGEP 6388 - DISTRITO LOMAS DE ZAMORA,Buenos Aires,null,SI,SI,SI,null,SI,"null,"
1057,INSTITUTO EDUCATIVO CESALP,Buenos Aires,null,SI,SI,SI,null,SI,61610700
1058,INSTITUTO ESCUELA DE ENFERMERIA CRUZ ROJA ARGENTINA   B - 727- FILIAL LANUS DIPREGEP 4887/4900,Buenos Aires,DIPREGEP 4887/4900,SI,SI,SI,null,SI,61185300
1059,INSTITUTO ESCUELA DE ENFERMERIA Y ESPEC PARAMEDICAS CRUZ ROJA (SAN FERNANDO)DIPREGEP N 4644/4648,Buenos Aires,DIPREGEP N 4644,SI,SI,SI,null,SI,60652600
1061,INSTITUTO JORGE LUIS BORGES (EX 9002),Buenos Aires,null,SI,SI,SI,null,SI,"null,"
1062,INSTITUTO MEDICO CONSTITUYENTES  DIEGEP 5852,Buenos Aires,null,SI,SI,SI,null,SI,61574900
1063,INSTITUTO MUNICIPAL DE EDUCACION SUPERIOR DE FORMACION DOCENTE,Buenos Aires,null,SI,SI,SI,null,SI,"null,"
1065,INSTITUTO MUNICIPAL DE FORMACION SUPERIOR (EX 6003),Buenos Aires,null,SI,SI,SI,null,SI,61614600
1066,INSTITUTO PARA LA FORMACION E INVESTIGACION MEDICO HOSPITALARIA,Buenos Aires,null,SI,SI,SI,null,NO,"null,"
1067,INSTITUTO PRIVADO LIBERTAS - DIEGEP N° 5843,Buenos Aires,DIEGEP N 5843,SI,SI,SI,null,SI,"null,"
1068,INSTITUTO REGIONAL CHIVILCOY,Buenos Aires,null,SI,SI,SI,null,SI,61673900
1069,INSTITUTO REGIONAL DEL SUR  N°5954 (EX 9004),Buenos Aires,null,SI,SI,SI,null,SI,61589600
1070,INSTITUTO RIVIERE N°5801,Buenos Aires,DIPREGEP 5801,SI,SI,SI,null,SI,"null,"
1071,INSTITUTO SATURNINO E. UNZUE DE SAN JOSE N°4050,Buenos Aires,DIEGEP 4050,SI,SI,SI,null,SI,60229000
1072,INSTITUTO SUPERIOR BLAISE PASCAL (SAN NICOLAS DE LOS ARROYOS),Buenos Aires,null,SI,SI,SI,null,SI,61481500
1073,INSTITUTO SUPERIOR BUENOS AIRES,CABA,null,SI,SI,SI,null,SI,20275100
1074,INSTITUTO SUPERIOR DE CARRERAS PARAMEDICAS PARAMED DIPREGEP N° 5491,Buenos Aires,DIPREGEP 5491,NO,SI,SI,null,SI,61288700
1075,INSTITUTO SUPERIOR DE ENFERMEROS PROFESIONALES DE LA ASOC DE EMPLEADOS DE COMERCIO DIPREGEP N 4125,Buenos Aires,DIPREGEP N 4125,SI,SI,SI,null,SI,61103900
1076,INSTITUTO SUPERIOR DE ENSEÑANZA TECNICA EN SALUD - ISETS DIPREGEPN° 5270,Buenos Aires,DIPREGEP N 5270,SI,SI,SI,null,SI,61459800
1077,INSTITUTO SUPERIOR DE ESTUDIOS ESPECIALIZADOS DIPREGEP N° 5844,Buenos Aires,DIPREGEP 5844,NO,SI,SI,null,SI,61574300
1078,INSTITUTO SUPERIOR DE ESTUDIOS PARAMEDICOS DIPREGEP 4796,Buenos Aires,DIPREGEP 4796,SI,SI,SI,null,SI,60011700
1079,INSTITUTO SUPERIOR DE ESTUDIOS TERCIARIOS CHIVILCOY,Buenos Aires,null,SI,SI,SI,null,SI,61533900
1080,INSTITUTO DE EDUCACION SUPERIOR DE FORMACION DOCENTE Y TECNICA (I.S.F.D.YT.) N° 133 GENERAL PINTO,Buenos Aires,null,SI,SI,SI,null,SI,60021900
1081,INSTITUTO SUPERIOR DE FORMACION DOCENTE N° 125 NICOLAS AVELLANEDA,Buenos Aires,null,SI,SI,SI,null,SI,61172600
1083,INSTITUTO SUPERIOR DE FORMACION DOCENTE N° 18,Buenos Aires,null,SI,SI,SI,null,SI,60686800
1085,INSTITUTO SUPERIOR DE FORMACION DOCENTE N° 31,Buenos Aires,null,SI,SI,SI,null,SI,61288100
1086,INSTITUTO SUPERIOR DE FORMACION DOCENTE N° 60,Buenos Aires,null,SI,SI,SI,null,SI,60339300
1087,INSTITUTO SUPERIOR DE FORMACION DOCENTE N° 85,Buenos Aires,null,SI,SI,SI,null,SI,60610300
1089,INSTITUTO SUPERIOR DE FORMACION DOCENTE Y TECNICA N° 134 JUAN EMILIO CASSANI,Buenos Aires,null,SI,SI,SI,null,SI,60940900
1090,INSTITUTO SUPERIOR DE FORMACION DOCENTE Y TECNICA N° 75,Buenos Aires,null,SI,SI,SI,null,SI,61613900
1091,I. S. F. DOCENTE Y TECNICA N° 89 DR. RENE FAVALORO,Buenos Aires,null,SI,SI,SI,null,SI,60767300
1092,ESCUELA MUNICIPAL DE ENFERMERIA EVITA DIPREGEP N° 6389,Buenos Aires,DIPREGEP N 6389,SI,SI,SI,null,SI,62019500
1093,INSTITUTO SUPERIOR DE FORMACION TECNICA N° 6004 DIPREGEP N 6387,Buenos Aires,DIPREGEP N 6387,SI,SI,SI,null,SI,62180300
1094,INSTITUTO SUPERIOR DE FORMACION TECNICA N° 132,Buenos Aires,null,SI,SI,SI,null,SI,60799700
1095,INSTITUTO SUPERIOR DE FORMACION TECNICA N° 188,Buenos Aires,null,SI,SI,SI,null,SI,60433000
1096,INSTITUTO SUPERIOR DE FORMACION TECNICA AMOS DIPREGEP N° 7994,Buenos Aires,DIPREGEP N 7994,SI,SI,SI,null,SI,62101800
1097,INSTITUTO SUPERIOR HARVEY (EX 9006) DIPREGEP 5797,Buenos Aires,null,SI,SI,SI,null,SI,61498300
1098,INSTITUTO SUPERIOR MARIA ESTHER CAMPOAMOR DE MAINETTI,Buenos Aires,null,SI,SI,SI,null,SI,60291000
1099,INSTITUTO SUPERIOR PARTICULAR INCORPORADO N° 9203 CRUZ ROJA ARGENTINA,Buenos Aires,null,SI,SI,SI,null,SI,"null,"
1100,INSTITUTO SUPERIOR SANTO TOMAS DE AQUINO - SEDE AZUL,Buenos Aires,null,SI,SI,SI,null,SI,61573700
1101,INSTITUTO SUPERIOR DE FORMACION TECNICA N° 177,Buenos Aires,null,SI,SI,SI,null,SI,61345900
1102,UNIVERSIDAD AUSTRAL (UAUSTRAL),CABA,R. M. 289 del 04/03/1991 Decreto PEN N 300 del 12/02/2002,NO,SI,SI,null,SI,"null,"
1104,UNIVERSIDAD DE MORON,Buenos Aires,Decreto PEN N 2.227 del 29/04/1968 Decreto PEN N 4.958 del 02/08/1972,NO,SI,SI,null,SI,"null,"
1105,UNIVERSIDAD NACIONAL DE LA PLATA,Buenos Aires,null,SI,SI,SI,null,SI,"null,"
1106,UNIVERSIDAD NACIONAL DE LANUS,Buenos Aires,Ley N 24.496/1995,NO,NO,SI,Nacional,SI,"null,"
1107,UNIVERSIDAD NACIONAL DE LOMAS DE ZAMORA,Buenos Aires,Ley N 19.888/1972,NO,SI,SI,null,SI,"null,"
1108,UNIVERSIDAD NACIONAL DE QUILMES,Buenos Aires,Ley N 23.749/1989,NO,SI,SI,null,SI,"null,"
1109,UNIVERSIDAD NACIONAL DE TRES DE FEBRERO,Buenos Aires,Ley N 24.495 del 07/06/1995,NO,SI,SI,null,SI,"null,"
1110,UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES,Buenos Aires,Ley N 20.753 / 1974,NO,SI,SI,null,SI,"null,"
1111,INSTITUTO DE EDUCACION SUPERIOR SANTA MARIA,Catamarca,null,SI,SI,NO,null,SI,100073100
1112,INSTITUTO DE ENSEÑANZA SUPERIOR DE ANDALGALA,Catamarca,null,NO,SI,NO,null,SI,100024500
1113,INSTITUTO DE ENSEÑANZA SUPERIOR DE BELEN,Catamarca,null,SI,SI,SI,null,SI,100033700
1114,INSTITUTO DE ESTUDIOS SUPERIORES PROF JUAN MANUEL CHAVARRIA,Catamarca,null,NO,SI,SI,null,SI,100063400
1115,UNIVERSIDAD NACIONAL DE CATAMARCA,Catamarca,Ley N 19.831/1972,NO,SI,SI,null,SI,"null,"
1117,INSTITUTO DE FORMACION NO UNIVERSITARIO JUAN JOSE GUALBERTO PISARELLO,Chaco,null,SI,SI,SI,null,SI,220140700
1118,UNIDAD EDUCATIVA PRIVADA N° 131 INSTITUTO SUPERIOR EDWARD KENNEDY,Chaco,null,SI,SI,SI,null,SI,220186100
1119,UNIDAD EDUCATIVA PRIVADA N° 58 INSTITUTO SUPERIOR ALMAFUERTE,Chaco,null,SI,SI,NO,null,SI,220127700
1120,UNIVERSIDAD NACIONAL DEL NORDESTE,Corrientes,null,SI,SI,SI,null,SI,"null,"
1121,INSTITUTO DE EDUCACION SUPERIOR N° 1814 DE MECANICA DENTAL,Chubut,null,SI,SI,SI,null,SI,260056200
1122,UNIVERSIDAD NACIONAL DE LA PATAGONIA SAN JUAN BOSCO,Chubut,N 20.575 12/04/1973,NO,SI,SI,null,SI,"null,"
1123,CENTRO DE ESTUDIOS DE NIVEL TERCIARIO N° 007,CABA,null,SI,SI,SI,null,SI,20111600
1124,INSTITUTO DE FORMACION TECNICA SUPERIOR N° 10,CABA,null,SI,SI,SI,null,SI,20115300
1125,FUNDACION PROINSTITUTO UNIVERSITARIO DR PIERRE FAUCHARD,CABA,null,SI,SI,SI,null,SI,29002200
1126,ESCUELA CENTRAL DE ESPECIALIDADES PARAMEDICAS CRUZ ROJA ARG A-825,CABA,A-825,SI,SI,SI,null,SI,"null,"
1127,ESCUELA DE ENFERMERIA HOSPITAL SIRIO LIBANES A-752,CABA,null,SI,SI,SI,null,SI,"null,"
1128,ESCUELA CENTRAL DE ESPECIALIDADES PARAMEDICAS CRUZ ROJA ARGENTINA  A 726,CABA,null,NO,SI,SI,null,SI,20053900
1129,ESCUELA DE ENFERMERIA DEL HOSPITAL ISRAELITA A-0839,CABA,null,SI,SI,SI,null,SI,20024000
1130,ESCUELA DE ENFERMERIA DEL HOSPITAL ITALIANO,CABA,null,SI,SI,SI,null,SI,20122400
1131,ESCUELA DE ENFERMERIA DR. RAMON CARRILLO,CABA,null,SI,SI,SI,null,SI,"null,"
1132,ESCUELA DE ENFERMERIA HELENA LARROQUE DE ROFFO,CABA,null,SI,SI,SI,null,SI,20096900
1133,ESCUELA DE ENFERMERIA HOSPITAL FRANCES,CABA,null,SI,SI,SI,null,SI,20081900
1134,ESCUELA  DE ENFERMERIA Y ESPECIALIDADES PARAMEDICAS CRUZ ROJA ARGENTINA FILIAL SAAVEDRA A 73 /732,CABA,null,SI,SI,SI,null,SI,20053100
1135,ESCUELA DE TECNICOS PARA LA SALUD,CABA,null,SI,SI,SI,null,SI,"null,"
1136,ESCUELA SUPERIOR DE EDUCACION MEDICA,CABA,null,SI,SI,SI,null,SI,20193100
1137,ESCUELA SUPERIOR DE ENFERMERIA CECILIA GRIERSON,CABA,null,SI,SI,SI,null,SI,20036600
1138,ESCUELA TECNICA N° 11 D.E 6 MANUEL BELGRANO,CABA,null,SI,SI,SI,null,SI,"null,"
1139,ESCUELA TECNICAN° 16 D.E 17 ESPAÑA,CABA,null,SI,SI,SI,null,SI,"null,"
1140,ESCUELA TECNICA N° 9 D.E 7ï¾º R. IV ING. LUIS A. HUERGO,CABA,null,NO,SI,SI,null,SI,20087600
1141,FUNDACION DE DOCENCIA E INVESTIGACION PARA LA SALUD (A-1239),CABA,EXPTE.7179-2006 GCBA- DISP.0471DGHAB Y PERMISOS,SI,SI,SI,null,SI,20193200
1142,GOBIERNO DE LA CIUDAD DE BUENOS AIRES - SECRETARIA DE SALUD PUBLICA - ESCUELA MUNICIPAL DE LABORATORIO,CABA,null,SI,SI,SI,null,SI,"null,"
1144,INEBA - ESCUELA DE SALUD,CABA,null,SI,SI,SI,null,SI,20230000
1145,INSTITUTO PRIVADO HERNANDARIAS D-29,Entre Ríos,null,SI,SI,SI,null,SI,300078500
1146,INSTITUTO AMADO OLMOS ATSA,CABA,null,SI,SI,SI,Privado,SI,20089000
1148,INSTITUTO DE CIENCIAS DE LA INFORMACION,CABA,null,SI,SI,SI,null,SI,"null,"
1150,INSTITUTO DE TECNOLOGIA ORT,CABA,null,SI,SI,SI,null,SI,20113900
1151,INSTITUTO DEL PROFESORADO EN ENFERMERIA PADRE LUIS TEZZA,CABA,Disp  001339/71  DGEGP,SI,SI,SI,null,SI,20174400
1152,INSTITUTO MODELO ABRAHAM LINCOLN,CABA,null,SI,SI,SI,null,SI,20069300
1153,INSTITUTO PRIVADO ESCUELA DEL POLICLINICO BANCARIO NUEVE DE JULIO A-1321,CABA,incorp. Decreto 371/64 -Disposic. 1195,NO,SI,SI,Privado,SI,20212300
1154,INSTITUTO PRIVADO CIENCIA DE LA SALUD INSTRUMENTAS (A-1043),CABA,disp. n 1761,NO,SI,SI,null,SI,20179500
1155,ESCUELA DE ENFERMERIA BERNARDO HOUSSAY A-1420,CABA,null,SI,SI,SI,null,SI,20237800
1156,INSTITUTO PRIVADO INC. KLINE - CENTRO DE ENSEÑANZA E INVESTIGACION,CABA,null,SI,SI,SI,null,SI,20037800
1157,INSTITUTO SUPERIOR DE AUXILIARES DE MEDICINA,CABA,null,SI,SI,NO,null,SI,20234600
1158,INSTITUTO SUPERIOR DE CIENCIAS DE LA SALUD A-1243,CABA,null,NO,SI,SI,null,SI,20191900
1159,INSTITUTO SUPERIOR DE EDUCACION PARA LA SALUD Y DERECHO,CABA,null,SI,SI,SI,null,SI,20232700
1160,INSTITUTO SUPERIOR DE TECNICATURAS PARA LA SALUD,CABA,null,SI,SI,SI,null,SI,20187700
1161,INSTITUTO SUPERIOR MITRE A-1047,CABA,null,SI,SI,NO,null,SI,20142000
1162,INSTITUTO TECNICO SUPERIOR DE SANIDAD,CABA,null,NO,SI,NO,null,SI,20229600
1163,INSTITUTO UNIVERSITARIO CENTRO DE EDUCACION MEDICA E INVESTIGACIONES CLINICAS DR. QUIRNO (CEMIC),CABA,Dec PEN N1234-1997  Reconocimiento Definitivo Por Dec. N69-2009,NO,SI,SI,null,SI,"null,"
1164,INSTITUTO UNIVERSITARIO DE CIENCIAS BIOMEDICAS DE LA FUNDACION FAVALORO,CABA,null,SI,SI,SI,null,SI,"null,"
1165,INSTITUTO SUPERIOR EDUSALUD DE CIENCIAS DE LA SALUD A 1283,CABA,ActuaciÑn n 4003/96- Dispos. n 1007/98,SI,SI,SI,null,SI,20213400
1166,INSTITUTO UNIVERSITARIO DE LA POLICIA FEDERAL ARGENTINA,CABA,null,SI,SI,SI,null,SI,"null,"
1167,PONTIFICIA UNIVERSIDAD CATOLICA ARGENTINA SANTA MARIA DE LOS BUENOS AIRES,CABA,null,SI,SI,SI,null,SI,"null,"
1168,UNIVERSIDAD ABIERTA INTERAMERICANA,CABA,DecisiÑn Administrativa del Jefe de Gabinete N 5 del 07/08/1995 Decreto PEN N 1.082 del 06/09/2005,NO,SI,SI,null,SI,"null,"
1169,UNIVERSIDAD ARGENTINA DE LA EMPRESA,CABA,2.227 del 29/04/1968 Decreto PEN N 3.825 del 19/06/1972,NO,NO,SI,null,SI,"null,"
1171,UNIVERSIDAD DE BELGRANO,CABA,Decreto PEN N 2.227 del 29/04/1968 Decreto PEN N 273 del 26/01/1970,NO,NO,SI,null,SI,"null,"
1172,UNIVERSIDAD DE BUENOS AIRES,CABA,Edicto Ereccional 12/08/1821,NO,SI,SI,null,SI,"null,"
1173,UNIVERSIDAD DEL SALVADOR,CABA,Decreto PEN N 16.365 del 08/12/1959,NO,SI,SI,null,SI,"null,"
1174,UNIVERSIDAD TECNOLOGICA NACIONAL,CABA,Ley N 14855 del 14/101959 Modificada por leyes N 15.948  y 6712,SI,SI,SI,null,SI,"null,"
1175,UNIVERSITAS ESTUDIOS SUPERIORES,CABA,null,NO,SI,SI,null,SI,20060300
1176,INST. SUP.  SPINOZA  B.A.C. COLEGIO UNIVERSITARIO,Córdoba,null,NO,SI,SI,null,SI,140445300
1177,CONSEJO NACIONAL DE EDUCACION TECNICA - ATSA CORDOBA-CAPITAL - CENTRO NACIONAL DE FORMACION PROFESIONAL N°15,Córdoba,null,SI,SI,SI,null,SI,"null,"
1178,INSTITUTO SUPERIOR DR. RAMON J. CARRILLO,Córdoba,null,SI,SI,SI,null,SI,140253500
1179,ESCUELA DE ENFERMERIA PROFESIONAL,Córdoba,DEC. PROV. DE CREACIÑN DE LA INSTITUCIÑN 3303-90,NO,SI,SI,null,SI,140359300
1180,ESCUELA NORMAL SUPERIOR VICTOR MERCANTE,Córdoba,null,NO,SI,SI,null,SI,140337400
1181,ESCUELA SUPERIOR DE ENFERMERIA CRUZ DEL SACRIFICIO,Córdoba,null,SI,SI,SI,null,SI,140333900
1182,ESCUELA SUPERIOR DE ENFERMERIA CRUZ ROJA ARGENTINA (RIO CUARTO),Córdoba,null,SI,SI,SI,null,SI,140463300
1183,INSTITUTO SUPERIOR DR. DOMINGO CABRED,Córdoba,null,SI,SI,SI,null,SI,140126500
1184,INSTITUTO DE FORMACION SUPERIOR EDUCAR,Córdoba,null,NO,SI,SI,null,SI,140471400
1185,INSTITUTO ARGENTINO DE PROTESIS DENTAL,Córdoba,RES. D.I.P.E. N 0230/98,SI,SI,SI,null,SI,140443300
1186,INSTITUTO SUPERIOR BERROTARAN,Córdoba,null,NO,SI,SI,null,SI,140308900
1187,ESCUELA SUPERIOR DE ENFERMERIA CRUZ ROJA ARGENTINA - FILIAL CORDOBA,Córdoba,null,SI,SI,SI,null,SI,140443800
1188,INSTITUTO SUPERIOR DE EDUCACION Y TRABAJO I.S.E.T.,Córdoba,null,SI,SI,SI,null,SI,140472500
1189,ESCUELA SUPERIOR DE ENFERMERIA CRUZ ROJA ARGENTINA,Córdoba,null,NO,SI,SI,null,SI,140488900
1191,INSTITUTO SUPERIOR DEL PROFESORADO DE PSICOPEDAGOGIA Y EDUCACION,Córdoba,null,SI,SI,SI,null,SI,"null,"
1192,INSTITUTO SUPERIOR DEL ROSARIO - PROF. GABRIELA MISTRAL,Córdoba,null,SI,SI,SI,null,SI,140233600
1193,INSTITUTO SUPERIOR FUNDACION INDEPENDENCIA,Córdoba,null,NO,SI,SI,null,SI,140471500
1194,INSTITUTO SUPERIOR GARCIA LORCA,Córdoba,null,SI,SI,SI,null,SI,140250000
1195,INSTITUTO SUPERIOR INMACULADA CONCEPCION (FASTA),Córdoba,null,NO,SI,SI,null,SI,140319700
1196,INSTITUTO SUPERIOR MANUEL BELGRANO,Córdoba,null,SI,SI,SI,null,SI,140322200
